market_segment,created_month,deals,wins,win_rate
Indirect,2022-11,1,0,0.0
Indirect,2022-12,1,0,0.0
Indirect,2023-01,2,0,0.0
Indirect,2023-03,2,0,0.0
Indirect,2023-04,7,1,0.14285714285714285
Indirect,2023-05,8,2,0.25
Indirect,2023-06,3,1,0.3333333333333333
Indirect,2023-07,4,0,0.0
Indirect,2023-08,5,3,0.6
Indirect,2023-09,6,2,0.3333333333333333
Indirect,2023-10,13,2,0.15384615384615385
Indirect,2023-11,10,4,0.4
Indirect,2023-12,15,7,0.4666666666666667
Indirect,2024-01,44,29,0.6590909090909091
Indirect,2024-02,50,21,0.42
Indirect,2024-03,282,16,0.05673758865248227
Indirect,2024-04,33,16,0.48484848484848486
Indirect,2024-05,58,19,0.3275862068965517
Indirect,2024-06,40,19,0.475
Indirect,2024-07,43,21,0.4883720930232558
Indirect,2024-08,54,21,0.3888888888888889
Indirect,2024-09,35,17,0.4857142857142857
Indirect,2024-10,33,23,0.696969696969697
Indirect,2024-11,72,45,0.625
Indirect,2024-12,51,39,0.7647058823529411
Indirect,2025-01,49,26,0.5306122448979592
Indirect,2025-02,55,32,0.5818181818181818
Indirect,2025-03,56,22,0.39285714285714285
Indirect,2025-04,87,19,0.21839080459770116
Indirect,2025-05,91,15,0.16483516483516483
Indirect,2025-06,61,14,0.22950819672131148
Indirect,2025-07,42,15,0.35714285714285715
Indirect,2025-08,51,18,0.35294117647058826
Indirect,2025-09,39,16,0.41025641025641024
Indirect,2025-10,92,18,0.1956521739130435
Indirect,2025-11,70,37,0.5285714285714286
Indirect,2025-12,49,35,0.7142857142857143
Large Market,2022-05,1,0,0.0
Large Market,2022-06,1,0,0.0
Large Market,2022-07,1,0,0.0
Large Market,2022-09,1,1,1.0
Large Market,2022-11,1,1,1.0
Large Market,2022-12,1,0,0.0
Large Market,2023-01,1,1,1.0
Large Market,2023-02,3,0,0.0
Large Market,2023-03,6,1,0.16666666666666666
Large Market,2023-04,3,1,0.3333333333333333
Large Market,2023-05,7,2,0.2857142857142857
Large Market,2023-06,10,1,0.1
Large Market,2023-07,5,1,0.2
Large Market,2023-08,1,0,0.0
Large Market,2023-09,8,1,0.125
Large Market,2023-10,8,2,0.25
Large Market,2023-11,6,1,0.16666666666666666
Large Market,2023-12,1,0,0.0
Large Market,2024-01,11,3,0.2727272727272727
Large Market,2024-02,10,3,0.3
Large Market,2024-03,15,5,0.3333333333333333
Large Market,2024-04,14,2,0.14285714285714285
Large Market,2024-05,6,1,0.16666666666666666
Large Market,2024-06,13,3,0.23076923076923078
Large Market,2024-07,7,2,0.2857142857142857
Large Market,2024-08,7,4,0.5714285714285714
Large Market,2024-09,5,3,0.6
Large Market,2024-10,5,2,0.4
Large Market,2024-11,6,0,0.0
Large Market,2024-12,5,1,0.2
Large Market,2025-01,7,3,0.42857142857142855
Large Market,2025-02,8,1,0.125
Large Market,2025-03,9,2,0.2222222222222222
Large Market,2025-04,7,0,0.0
Large Market,2025-05,9,0,0.0
Large Market,2025-06,4,1,0.25
Large Market,2025-07,3,1,0.3333333333333333
Large Market,2025-09,1,0,0.0
Large Market,2025-10,2,0,0.0
Large Market,2025-11,6,0,0.0
Large Market,2025-12,2,0,0.0
Mid Market,2022-01,1,0,0.0
Mid Market,2022-05,1,0,0.0
Mid Market,2022-09,1,0,0.0
Mid Market,2022-11,1,0,0.0
Mid Market,2023-02,1,0,0.0
Mid Market,2023-03,3,0,0.0
Mid Market,2023-04,4,1,0.25
Mid Market,2023-05,6,1,0.16666666666666666
Mid Market,2023-06,15,1,0.06666666666666667
Mid Market,2023-07,19,4,0.21052631578947367
Mid Market,2023-08,25,3,0.12
Mid Market,2023-09,32,4,0.125
Mid Market,2023-10,41,11,0.2682926829268293
Mid Market,2023-11,54,4,0.07407407407407407
Mid Market,2023-12,39,10,0.2564102564102564
Mid Market,2024-01,62,15,0.24193548387096775
Mid Market,2024-02,85,18,0.21176470588235294
Mid Market,2024-03,98,23,0.23469387755102042
Mid Market,2024-04,110,23,0.20909090909090908
Mid Market,2024-05,124,31,0.25
Mid Market,2024-06,103,24,0.23300970873786409
Mid Market,2024-07,86,17,0.19767441860465115
Mid Market,2024-08,113,25,0.22123893805309736
Mid Market,2024-09,88,20,0.22727272727272727
Mid Market,2024-10,50,12,0.24
Mid Market,2024-11,35,9,0.2571428571428571
Mid Market,2024-12,21,6,0.2857142857142857
Mid Market,2025-01,38,7,0.18421052631578946
Mid Market,2025-02,62,6,0.0967741935483871
Mid Market,2025-03,101,28,0.27722772277227725
Mid Market,2025-04,107,20,0.18691588785046728
Mid Market,2025-05,140,24,0.17142857142857143
Mid Market,2025-06,127,20,0.15748031496062992
Mid Market,2025-07,131,16,0.12213740458015267
Mid Market,2025-08,112,15,0.13392857142857142
Mid Market,2025-09,86,10,0.11627906976744186
Mid Market,2025-10,59,16,0.2711864406779661
Mid Market,2025-11,25,6,0.24
Mid Market,2025-12,3,0,0.0
Other,2024-11,1,1,1.0
Other,2025-06,1,0,0.0
Other,2025-12,1,0,0.0
SMB,2023-11,9,2,0.2222222222222222
SMB,2023-12,28,2,0.07142857142857142
SMB,2024-01,69,14,0.2028985507246377
SMB,2024-02,89,12,0.1348314606741573
SMB,2024-03,80,12,0.15
SMB,2024-04,92,17,0.18478260869565216
SMB,2024-05,93,17,0.1827956989247312
SMB,2024-06,79,11,0.13924050632911392
SMB,2024-07,81,15,0.18518518518518517
SMB,2024-08,132,23,0.17424242424242425
SMB,2024-09,116,21,0.1810344827586207
SMB,2024-10,92,21,0.22826086956521738
SMB,2024-11,37,10,0.2702702702702703
SMB,2024-12,23,6,0.2608695652173913
SMB,2025-01,42,7,0.16666666666666666
SMB,2025-02,55,5,0.09090909090909091
SMB,2025-03,26,6,0.23076923076923078
SMB,2025-04,63,11,0.1746031746031746
SMB,2025-05,42,6,0.14285714285714285
SMB,2025-06,35,5,0.14285714285714285
SMB,2025-07,50,10,0.2
SMB,2025-08,50,4,0.08
SMB,2025-09,81,9,0.1111111111111111
SMB,2025-10,62,6,0.0967741935483871
SMB,2025-11,19,2,0.10526315789473684
