date_created,date_closed,stage,market_segment,Sum of net_revenue,Count of deal_id
7/3/2023,1/5/2024,Closed Lost,Mid Market,133489.44,1
7/6/2023,1/5/2024,Closed Lost,Mid Market,74545.44,1
7/6/2023,3/1/2024,Closed Lost,Large Market,330584.76,1
7/10/2023,1/5/2024,Closed Lost,Mid Market,16750.8,1
7/10/2023,1/5/2024,Closed Won,Mid Market,10801.92,1
7/10/2023,2/9/2024,Closed Lost,Mid Market,20064,1
7/10/2023,5/10/2024,Closed Lost,Mid Market,20359.68,1
7/11/2023,1/5/2024,Closed Lost,Mid Market,4231.2,1
7/11/2023,3/8/2024,Closed Lost,Mid Market,48600,1
7/13/2023,2/2/2024,Closed Lost,Indirect,186372,1
7/14/2023,8/9/2024,Closed Won,Large Market,60441.6,1
7/18/2023,1/5/2024,Closed Won,Mid Market,10657.98,1
7/18/2023,1/12/2024,Closed Lost,Mid Market,8676,1
7/18/2023,1/26/2024,Closed Lost,Indirect,7200,1
7/18/2023,2/9/2024,Closed Lost,Large Market,487200,1
7/18/2023,2/23/2024,Closed Lost,Mid Market,13219.2,1
7/20/2023,1/5/2024,Closed Lost,Mid Market,7548.12,1
7/24/2023,6/14/2024,Closed Lost,Large Market,1845376.32,1
7/24/2023,1/10/2025,Closed Lost,Indirect,1350,1
7/25/2023,1/5/2024,Closed Lost,Mid Market,95909.52,3
7/25/2023,1/5/2024,Closed Won,Mid Market,37031.76,2
7/25/2023,1/26/2024,Closed Won,Indirect,9890.64,1
7/28/2023,1/5/2024,Closed Lost,Mid Market,57288,1
7/31/2023,1/5/2024,Closed Won,Mid Market,9592.2,1
7/31/2023,2/9/2024,Closed Lost,Large Market,55440,1
8/1/2023,6/7/2024,Closed Lost,Mid Market,42600,1
8/2/2023,1/5/2024,Closed Lost,Mid Market,5260,1
8/3/2023,1/19/2024,Closed Lost,Mid Market,19141.32,1
8/3/2023,2/9/2024,Closed Lost,Mid Market,20192.4,1
8/4/2023,1/5/2024,Closed Lost,Mid Market,56026.08,1
8/9/2023,1/5/2024,Closed Won,Indirect,54582,1
8/10/2023,3/15/2024,Closed Lost,Mid Market,9198,1
8/11/2023,1/5/2024,Closed Lost,Mid Market,1256,1
8/11/2023,1/26/2024,Closed Lost,Indirect,5532,1
8/15/2023,1/5/2024,Closed Lost,Mid Market,33120,1
8/15/2023,1/19/2024,Closed Lost,Mid Market,44304,1
8/16/2023,1/5/2024,Closed Lost,Mid Market,2148,1
8/16/2023,1/5/2024,Closed Won,Mid Market,5580,1
8/16/2023,11/22/2024,Closed Won,Indirect,3,1
8/18/2023,1/5/2024,Closed Lost,Mid Market,62092.8,3
8/22/2023,1/5/2024,Closed Lost,Mid Market,13500,1
8/23/2023,1/5/2024,Closed Lost,Mid Market,50484,2
8/23/2023,2/9/2024,Closed Lost,Mid Market,12672,1
8/28/2023,1/5/2024,Closed Won,Indirect,115500,1
8/28/2023,1/26/2024,Closed Lost,Indirect,18000,1
8/29/2023,1/5/2024,Closed Lost,Mid Market,30602.88,1
8/30/2023,1/5/2024,Closed Lost,Mid Market,10560,1
8/30/2023,1/5/2024,Closed Won,Mid Market,59754.96,1
8/30/2023,2/9/2024,Closed Lost,Mid Market,6816,1
8/30/2023,6/7/2024,Closed Won,Mid Market,9498.36,1
8/31/2023,1/5/2024,Closed Lost,Large Market,160932,1
8/31/2023,4/5/2024,Closed Won,Mid Market,25809.6,1
8/31/2023,4/12/2024,Closed Lost,Mid Market,47268,1
9/1/2023,1/5/2024,Closed Lost,Mid Market,134200,2
9/1/2023,1/26/2024,Closed Lost,Mid Market,10000,1
9/5/2023,1/5/2024,Closed Won,Mid Market,7321.92,1
9/5/2023,2/2/2024,Closed Lost,Mid Market,18416.64,1
9/5/2023,3/7/2025,Closed Lost,Large Market,405000,1
9/7/2023,1/5/2024,Closed Lost,Mid Market,64339.36,2
9/7/2023,1/26/2024,Closed Won,Indirect,18425.88,1
9/7/2023,7/12/2024,Closed Lost,Large Market,382706.4,1
9/11/2023,1/5/2024,Closed Lost,Mid Market,26880,1
9/12/2023,1/12/2024,Closed Lost,Mid Market,26640,1
9/13/2023,1/5/2024,Closed Lost,Mid Market,5260,1
9/13/2023,1/5/2024,Closed Won,Indirect,39977,1
9/13/2023,1/26/2024,Closed Lost,Indirect,20839.68,1
9/13/2023,11/22/2024,Closed Won,Indirect,2.16,1
9/14/2023,1/5/2024,Closed Lost,Mid Market,939496.96,2
9/14/2023,1/5/2024,Verbal,Mid Market,2828.196,1
9/14/2023,1/12/2024,Closed Lost,Large Market,1660800,1
9/14/2023,3/8/2024,Closed Lost,Mid Market,126000,1
9/14/2023,10/11/2024,Closed Lost,Indirect,2580,1
9/15/2023,1/5/2024,Closed Won,Mid Market,14154.72,2
9/15/2023,4/12/2024,Closed Lost,Mid Market,52752,1
9/19/2023,1/5/2024,Closed Lost,Large Market,132000,1
9/19/2023,4/12/2024,Closed Lost,Mid Market,7095.6,1
9/20/2023,1/5/2024,Closed Lost,Mid Market,41257.68,1
9/20/2023,3/15/2024,Closed Won,Large Market,1016808.84,1
9/21/2023,1/5/2024,Closed Lost,Mid Market,12628.8,1
9/21/2023,1/5/2024,Closed Won,Mid Market,18805.2,1
9/21/2023,1/26/2024,Closed Lost,Mid Market,8672.4,1
9/22/2023,1/19/2024,Closed Won,Mid Market,23438.52,1
9/25/2023,1/5/2024,Closed Won,Mid Market,30319.296,2
9/26/2023,2/2/2024,Closed Lost,Mid Market,6625.44,1
9/26/2023,3/29/2024,Closed Lost,Large Market,340800,1
9/26/2023,1/31/2025,Closed Lost,Mid Market,7425.6,1
9/27/2023,1/5/2024,Closed Won,Mid Market,2874,1
9/27/2023,4/12/2024,Closed Lost,Large Market,33267.6,1
9/27/2023,11/14/2025,Closed Lost,Large Market,463200,1
9/28/2023,1/5/2024,Closed Lost,Mid Market,19216.8,1
9/29/2023,1/5/2024,Closed Lost,Indirect,9742.8,1
9/29/2023,1/5/2024,Closed Lost,Mid Market,7488,1
9/29/2023,2/16/2024,Closed Lost,Mid Market,18632.52,2
10/2/2023,1/5/2024,Closed Lost,Indirect,26157,2
