snapshot_date,deal_id,deal_name,market_segment,status,revenue,date_created,target_implementation_date,source
2026-01-02,1605,Horizon Systems 341,Large Market,Qualified,208290,2025-01-31,2026-02-01,Existing
2026-01-02,1618,Catalyst Technologies 682,Large Market,Qualified,266650,2025-02-14,2026-02-01,Existing
2026-01-02,1631,Stonebridge Networks 235,Large Market,Qualified,174530,2025-02-28,2026-02-01,Existing
2026-01-02,1632,Sentinel Group 406,Small Market,Qualified,28508,2025-02-28,2026-02-01,Existing
2026-01-02,1647,Overwatch Solutions 42,Global Market,Qualified,480397,2025-03-14,2026-02-01,Existing
2026-01-02,1677,Vertex Systems 637,Small Market,Qualified,38481,2025-04-11,2026-02-01,Existing
2026-01-02,1685,Continuum Solutions 843,Global Market,Qualified,379295,2025-04-18,2026-02-01,Existing
2026-01-02,1702,Vector Global 121,Mid-Market,Qualified,120006,2025-04-25,2026-02-01,Existing
2026-01-02,1707,Parallax Solutions 931,Global Market,Qualified,361229,2025-05-02,2026-02-01,Existing
2026-01-02,1712,Continuum Systems 300,Global Market,Qualified,366565,2025-05-09,2026-02-01,Existing
2026-01-02,1719,BlueShift Enterprises 700,Large Market,Qualified,268975,2025-05-09,2026-02-01,Existing
2026-01-02,1721,Aether Solutions 613,Small Market,Qualified,15786,2025-05-16,2026-02-01,Existing
2026-01-02,1731,Sentinel Corp 477,Mid-Market,Qualified,58462,2025-05-16,2026-02-01,Existing
2026-01-02,1734,PrimeAxis Systems 750,Global Market,Qualified,361323,2025-05-23,2026-02-01,Existing
2026-01-02,1745,Vertex Systems 699,Mid-Market,Qualified,72589,2025-05-30,2026-02-01,Existing
2026-01-02,1746,Catalyst Enterprises 778,Large Market,Qualified,263263,2025-05-30,2026-02-01,Existing
2026-01-02,1755,EdgePoint Networks 469,Large Market,Qualified,169838,2025-06-06,2026-02-01,Existing
2026-01-02,1763,Hyperion Global 879,Global Market,Qualified,313783,2025-06-13,2026-02-01,Existing
2026-01-02,1764,Quantum Systems 603,Mid-Market,Qualified,112202,2025-06-13,2026-02-01,Existing
2026-01-02,1775,Pathfinder Networks 356,Global Market,Qualified,398896,2025-06-20,2026-02-01,Existing
2026-01-02,1780,Elevate Global 151,Global Market,Qualified,456567,2025-06-27,2026-02-01,Existing
2026-01-02,1785,Catalyst Group 202,Large Market,Qualified,301168,2025-06-27,2026-02-01,Existing
2026-01-02,1788,TrueNorth Technologies 939,Mid-Market,Qualified,79373,2025-07-04,2026-01-09,Existing
2026-01-02,1789,PrimeAxis Corp 371,Mid-Market,Qualified,63538,2025-07-04,2026-02-01,Existing
2026-01-02,1790,SilverLine Group 151,Mid-Market,Qualified,119634,2025-07-04,2026-01-07,Existing
2026-01-02,1791,PrimeWave Global 66,Mid-Market,Qualified,79804,2025-07-04,2026-02-01,Existing
2026-01-02,1794,Longview Group 518,Large Market,Qualified,218546,2025-07-04,2026-01-17,Existing
2026-01-02,1795,NorthStar Global 194,Global Market,Qualified,402684,2025-07-04,2026-02-01,Existing
2026-01-02,1798,Skyline Solutions 386,Global Market,Qualified,433355,2025-07-11,2026-02-01,Existing
2026-01-02,1799,Unity Systems 795,Small Market,Qualified,33383,2025-07-11,2026-02-01,Existing
2026-01-02,1804,Continuum Networks 24,Small Market,Qualified,44124,2025-07-11,2026-01-08,Existing
2026-01-02,1810,Cornerstone Technologies 950,Small Market,Qualified,42079,2025-07-18,2026-02-01,Existing
2026-01-02,1811,Vector Systems 891,Global Market,Qualified,409145,2025-07-18,2026-02-01,Existing
2026-01-02,1814,CrossPoint Corp 727,Global Market,Qualified,443603,2025-07-18,2026-02-01,Existing
2026-01-02,1817,Overwatch Industries 772,Mid-Market,Qualified,50036,2025-07-18,2026-02-01,Existing
2026-01-02,1819,Zenith Solutions 401,Large Market,Qualified,163619,2025-07-25,2026-02-01,Existing
2026-01-02,1820,Longview Global 578,Mid-Market,Qualified,57170,2025-07-25,2026-01-26,Existing
2026-01-02,1821,Zenith Industries 581,Mid-Market,Qualified,73971,2025-07-25,2026-02-01,Existing
2026-01-02,1830,Nexus Corp 568,Global Market,Qualified,438014,2025-07-25,2026-01-31,Existing
2026-01-02,1832,Pulse Industries 904,Large Market,Qualified,172159,2025-08-01,2026-02-07,Existing
2026-01-02,1833,Longview Global 613,Mid-Market,Qualified,47585,2025-08-01,2026-02-01,Existing
2026-01-02,1834,TrueNorth Industries 952,Global Market,Qualified,515777,2025-08-01,2026-02-12,Existing
2026-01-02,1836,Summit Group 257,Mid-Market,Qualified,73560,2025-08-01,2026-02-01,Existing
2026-01-02,1837,Pinnacle Systems 725,Mid-Market,Qualified,46758,2025-08-01,2026-01-20,Existing
2026-01-02,1839,Catalyst Enterprises 637,Global Market,Qualified,471836,2025-08-01,2026-02-01,Existing
2026-01-02,1840,BlueCore Technologies 201,Mid-Market,Qualified,51980,2025-08-01,2026-02-01,Existing
2026-01-02,1847,Clearwater Corp 472,Mid-Market,Qualified,44065,2025-08-08,2026-02-19,Existing
2026-01-02,1850,OmniCore Group 386,Small Market,Qualified,42372,2025-08-15,2026-02-06,Existing
2026-01-02,1855,Vector Technologies 572,Large Market,Qualified,206039,2025-08-15,2026-01-03,Existing
2026-01-02,1856,NorthStar Networks 62,Mid-Market,Qualified,75449,2025-08-15,2026-02-27,Existing
2026-01-02,1857,HighMark Industries 111,Small Market,Qualified,23159,2025-08-15,2026-02-02,Existing
2026-01-02,1859,PrimeAxis Global 998,Mid-Market,Qualified,112173,2025-08-15,2026-02-17,Existing
2026-01-02,1869,Horizon Logistics 239,Global Market,Qualified,392946,2025-08-22,2026-01-23,Existing
2026-01-02,1872,IronGate Industries 954,Mid-Market,Qualified,80294,2025-08-29,2026-01-26,Existing
2026-01-02,1878,Nexus Group 938,Small Market,Qualified,26399,2025-08-29,2026-02-01,Existing
2026-01-02,1882,Vector Global 486,Global Market,Qualified,312898,2025-09-05,2026-02-01,Existing
2026-01-02,1883,Catalyst Industries 371,Small Market,Qualified,36415,2025-09-05,2026-01-20,Existing
2026-01-02,1884,Pinnacle Systems 97,Mid-Market,Qualified,100573,2025-09-05,2026-02-15,Existing
2026-01-02,1885,PrimeLine Enterprises 688,Global Market,Qualified,340362,2025-09-05,2026-03-02,Existing
2026-01-02,1886,BlueCore Group 683,Mid-Market,Qualified,92995,2025-09-05,2026-01-30,Existing
2026-01-02,1888,NorthStar Solutions 732,Mid-Market,Qualified,118287,2025-09-05,2026-02-01,Existing
2026-01-02,1891,Nexus Global 828,Large Market,Qualified,173463,2025-09-05,2026-01-30,Existing
2026-01-02,1893,Helix Technologies 477,Global Market,Qualified,385217,2025-09-12,2026-02-01,Existing
2026-01-02,1901,SteelPeak Logistics 524,Global Market,Qualified,339515,2025-09-12,2026-04-01,Existing
2026-01-02,1903,Foundation Systems 747,Small Market,Qualified,40487,2025-09-12,2026-03-14,Existing
2026-01-02,1904,Redstone Industries 874,Global Market,Qualified,421279,2025-09-19,2026-02-18,Existing
2026-01-02,1906,Aether Global 507,Mid-Market,Qualified,75365,2025-09-19,2026-01-31,Existing
2026-01-02,1907,Optimum Industries 990,Small Market,Qualified,12626,2025-09-19,2026-03-08,Existing
2026-01-02,1914,Momentum Enterprises 262,Mid-Market,Qualified,84797,2025-09-26,2026-02-09,Existing
2026-01-02,1916,Sentinel Networks 771,Mid-Market,Qualified,118008,2025-09-26,2026-02-01,Existing
2026-01-02,1919,Fusion Group 372,Global Market,Qualified,363349,2025-09-26,2026-02-19,Existing
2026-01-02,1920,Synergy Solutions 377,Global Market,Qualified,323601,2025-09-26,2026-02-01,Existing
2026-01-02,1924,EdgePoint Solutions 738,Mid-Market,Qualified,54020,2025-10-03,2026-04-12,Existing
2026-01-02,1929,Pinnacle Logistics 287,Small Market,Qualified,23965,2025-10-03,2026-03-22,Existing
2026-01-02,1936,Stronghold Technologies 552,Small Market,Qualified,25744,2025-10-10,2026-03-29,Existing
2026-01-02,1937,BlueShift Enterprises 434,Mid-Market,Qualified,51697,2025-10-10,2026-02-21,Existing
2026-01-02,1939,BlueShift Networks 193,Global Market,Qualified,441763,2025-10-10,2026-01-09,Existing
2026-01-02,1940,NorthStar Corp 831,Large Market,Qualified,261247,2025-10-10,2026-01-12,Existing
2026-01-02,1942,Stronghold Solutions 204,Large Market,Qualified,280682,2025-10-10,2026-04-12,Existing
2026-01-02,1948,Longview Enterprises 212,Global Market,Qualified,473063,2025-10-17,2026-04-15,Existing
2026-01-02,1949,Unity Industries 784,Small Market,Qualified,34886,2025-10-17,2026-01-24,Existing
2026-01-02,1950,Catalyst Logistics 290,Small Market,Qualified,25096,2025-10-24,2026-02-22,Existing
2026-01-02,1953,Momentum Global 676,Small Market,Qualified,32869,2025-10-24,2026-01-27,Existing
2026-01-02,1955,Zenith Solutions 216,Small Market,Qualified,23134,2025-10-24,2026-03-22,Existing
2026-01-02,1956,Nexus Technologies 714,Mid-Market,Qualified,69371,2025-10-31,2026-03-11,Existing
2026-01-02,1958,Unity Global 663,Large Market,Qualified,275273,2025-10-31,2026-04-27,Existing
2026-01-02,1960,Elevate Logistics 951,Large Market,Qualified,216697,2025-10-31,2026-03-14,Existing
2026-01-02,1964,CrossPoint Global 252,Global Market,Qualified,365596,2025-10-31,2026-04-24,Existing
2026-01-02,1965,Northbound Group 461,Global Market,Qualified,381321,2025-10-31,2026-03-13,Existing
2026-01-02,1966,Brightline Enterprises 501,Global Market,Qualified,367540,2025-10-31,2026-02-21,Existing
2026-01-02,1968,Vanguard Group 614,Large Market,Qualified,204476,2025-11-07,2026-02-08,Existing
2026-01-02,1970,Overwatch Group 287,Large Market,Qualified,149695,2025-11-07,2026-04-22,Existing
2026-01-02,1972,Aether Corp 51,Small Market,Qualified,25413,2025-11-07,2026-03-20,Existing
2026-01-02,1980,NorthStar Networks 555,Global Market,Qualified,325998,2025-11-14,2026-05-05,Existing
2026-01-02,1981,Parallax Networks 923,Global Market,Qualified,331853,2025-11-14,2026-02-25,Existing
