forecast_month,market_segment,open_pipeline_deal_count,open_pipeline_revenue,expected_won_deal_count,expected_won_revenue
2026-01,Indirect,31,1823484.1699999997,26.915440139470963,1414507.802709315
2026-01,Mid Market/SMB,29,1043927.99,22.023528386888174,721085.3596568072
2026-01,Large Market,22,4009606.4200000004,11.929519286834347,2106718.007967931
2026-02,Indirect,31,1823484.1699999997,35.29132771071134,1684676.3169344156
2026-02,Mid Market/SMB,29,1043927.99,27.750516951705535,826693.1313108072
2026-02,Large Market,22,4009606.4200000004,11.899353650063631,2104268.428222477
2026-03,Indirect,31,1823484.1699999997,42.36118422382785,1912718.1350328026
2026-03,Mid Market/SMB,29,1043927.99,35.594153644031664,971332.6715098071
2026-03,Large Market,22,4009606.4200000004,13.448782898154445,2230088.762531568
2026-04,Indirect,31,1823484.1699999997,41.03009439154319,1869783.1553987302
2026-04,Mid Market/SMB,29,1043927.99,36.08035335716032,980298.3727158072
2026-04,Large Market,22,4009606.4200000004,14.549976984290979,2319510.469413386
2026-05,Indirect,31,1823484.1699999997,41.186935852636125,1874842.156507803
2026-05,Mid Market/SMB,29,1043927.99,36.72518828092353,992189.3654448073
2026-05,Large Market,22,4009606.4200000004,15.07154574047383,2361864.1008224767
2026-06,Indirect,31,1823484.1699999997,40.87325293045025,1864724.1542896577
2026-06,Mid Market/SMB,29,1043927.99,35.95719714439912,978027.326938807
2026-06,Large Market,22,4009606.4200000004,16.066329130272894,2442644.800440659
2026-07,Indirect,31,1823484.1699999997,41.186935852636125,1874842.156507803
2026-07,Mid Market/SMB,29,1043927.99,36.72518828092353,992189.3654448073
2026-07,Large Market,22,4009606.4200000004,16.066329130272894,2442644.800440659
2026-08,Indirect,31,1823484.1699999997,41.03009439154319,1869783.1553987302
2026-08,Mid Market/SMB,29,1043927.99,36.341192712661325,985108.3461918073
2026-08,Large Market,22,4009606.4200000004,16.258587848932677,2458257.0371952043
2026-09,Indirect,31,1823484.1699999997,41.03009439154319,1869783.1553987302
2026-09,Mid Market/SMB,29,1043927.99,36.341192712661325,985108.3461918073
2026-09,Large Market,22,4009606.4200000004,16.258587848932677,2458257.0371952043
2026-10,Indirect,31,1823484.1699999997,41.03009439154319,1869783.1553987302
2026-10,Mid Market/SMB,29,1043927.99,36.341192712661325,985108.3461918073
2026-10,Large Market,22,4009606.4200000004,16.258587848932677,2458257.0371952043
2026-11,Indirect,31,1823484.1699999997,40.87325293045025,1864724.1542896577
2026-11,Mid Market/SMB,29,1043927.99,35.95719714439912,978027.326938807
2026-11,Large Market,22,4009606.4200000004,16.258587848932677,2458257.0371952043
2026-12,Indirect,31,1823484.1699999997,41.186935852636125,1874842.156507803
2026-12,Mid Market/SMB,29,1043927.99,36.72518828092353,992189.3654448073
2026-12,Large Market,22,4009606.4200000004,16.258587848932677,2458257.0371952043
